run,weighting,metric,raw,best_raw_only,hidden_conservative,hidden_only,raw_plus_hidden,probe_score_plus_raw
Phi TriviaQA,unweighted,brier,0.2891792605167781,0.170497786676424,0.2016143022434341,0.2205942468314399,0.2146717227357861,0.2007614197659911
Phi TriviaQA,unweighted,ece,0.3168565231878469,0.0635156861248027,0.1580072351197776,0.2040381177204673,0.1967036277743787,0.1576641460558602
Phi TriviaQA,unweighted,auc,0.8514492753623188,0.8514492753623188,0.8307165861513688,0.8073671497584541,0.813305152979066,0.8201489533011272
Phi TriviaQA,unweighted,wrong_conf_ge_0_8,44.0,0.0,11.0,16.0,17.0,15.0
Phi TriviaQA,unweighted,wrong_conf_ge_0_9,17.0,0.0,3.0,13.0,13.0,9.0
Phi TriviaQA,weighted,brier,0.2891792605167781,0.170497786676424,0.2011656173710933,0.2206376577423729,0.2141102196212037,0.2005333188268978
Phi TriviaQA,weighted,ece,0.3168565231878469,0.0635156861248027,0.1576535205502543,0.2073197726957432,0.1956753035632517,0.1542970241054507
Phi TriviaQA,weighted,auc,0.8514492753623188,0.8514492753623188,0.8306159420289855,0.8065619967793881,0.8135064412238325,0.8198470209339774
Phi TriviaQA,weighted,wrong_conf_ge_0_8,44.0,0.0,11.0,17.0,17.0,15.0
Phi TriviaQA,weighted,wrong_conf_ge_0_9,17.0,0.0,3.0,13.0,13.0,9.0
Qwen SQuAD,unweighted,brier,0.2078668924626898,0.1861048561235166,0.1839494102021874,0.2153422455135163,0.1954146701178826,0.2158003972498333
Qwen SQuAD,unweighted,ece,0.1544639626061719,0.0536037450093233,0.1331339555339099,0.1982158172842311,0.1761144766089541,0.1935111622436222
Qwen SQuAD,unweighted,auc,0.7290954121948343,0.7338129496402878,0.7974997051539097,0.7213114754098361,0.7597594055902819,0.7255572591107442
Qwen SQuAD,unweighted,wrong_conf_ge_0_8,31.0,9.0,12.0,25.0,22.0,25.0
Qwen SQuAD,unweighted,wrong_conf_ge_0_9,11.0,0.0,2.0,22.0,17.0,22.0
Qwen SQuAD,weighted,brier,0.2078668924626898,0.2002299688170005,0.1938880851032266,0.2234379688679114,0.2016741577747995,0.2236765587870134
Qwen SQuAD,weighted,ece,0.1544639626061719,0.0835861290315503,0.1475698403792026,0.2166365858653769,0.1758250449002547,0.2104341187957589
Qwen SQuAD,weighted,auc,0.7290954121948343,0.7292723198490388,0.7951409364311829,0.7220191060266541,0.7594055902818728,0.7246137516216535
Qwen SQuAD,weighted,wrong_conf_ge_0_8,31.0,0.0,11.0,23.0,19.0,24.0
Qwen SQuAD,weighted,wrong_conf_ge_0_9,11.0,0.0,2.0,22.0,14.0,22.0
Qwen TriviaQA,unweighted,brier,0.2545761122742079,0.1270264731979713,0.1372445030748713,0.1595934630834902,0.149443322165696,0.1530313652813467
Qwen TriviaQA,unweighted,ece,0.3540278905417691,0.0459978398617511,0.1081039330914,0.1441891676666194,0.14311528870908,0.1417711418060141
Qwen TriviaQA,unweighted,auc,0.7655446857900846,0.7655446857900846,0.7861051235284364,0.7776488144586304,0.8061681313215056,0.7862709335101973
Qwen TriviaQA,unweighted,wrong_conf_ge_0_8,9.0,0.0,0.0,7.0,8.0,5.0
Qwen TriviaQA,unweighted,wrong_conf_ge_0_9,3.0,0.0,0.0,5.0,4.0,3.0
Qwen TriviaQA,weighted,brier,0.2545761122742079,0.1881841284345991,0.1311997938442703,0.1634183002020411,0.1523516335109926,0.158669425717309
Qwen TriviaQA,weighted,ece,0.3540278905417691,0.2384779803294627,0.1097397797209616,0.1536514982671639,0.1369646828444193,0.1361922500476317
Qwen TriviaQA,weighted,auc,0.7655446857900846,0.7655446857900846,0.7917426629083071,0.776653954568065,0.8031835516498094,0.7832863538385011
Qwen TriviaQA,weighted,wrong_conf_ge_0_8,9.0,1.0,1.0,12.0,9.0,10.0
Qwen TriviaQA,weighted,wrong_conf_ge_0_9,3.0,0.0,0.0,9.0,8.0,8.0
